program_id,source,source_name,source_type,detail_url,title,provider,summary,is_elementary,is_middle,is_high,target_grade_codes,grade_min,grade_max,grade_label,grade_basis,youth_fit,is_sw,is_ai,is_bio,is_sw_ai_related,is_bio_related,field_code,track_group,interest_tags,field_hits,growth_level,growth_label,growth_basis,is_competition,is_course,course_level,course_level_label,course_level_basis,format_type,format_label,format_basis,is_online,place_id,place_name,address,latitude,longitude,coord_source,equipment_codes,equipment_names,equipment_count,equipment_source,space_type,capacity,rental_space_ids,rental_max_capacity,rental_wifi,rental_projector,rental_available,reservation_url,space_match_method,start_date,end_date,duration_days,apply_start,apply_end,weekdays,time_start,time_end,total_hours,status_code,status_label,fee_type,fee_label,fee_amount,satisfaction_score,difficulty_score,difficulty_felt,completion_rate,outcome_source,search_text
BNFE9E68F78F,hallym_sw,한림대 SW 교육콘텐츠,university,,(드론)항공촬영,한림대학교,,0,1,1,m1|m2|m3|h1|h2|h3,7,12,중1~고3,school_level,2,1,0,0,1,0,0,0,로봇·메이커,드론,2,새싹,기본값(새싹),0,1,3,심화,대상 하한이 중1 이상,1,실습형,"내용 ""촬영""",1,PL002,한림대학교,강원특별자치도 춘천시 한림대학길 1,,,,DRONE,드론,1,1,ONLINE,,,,0,0,,,,,,,,,,,,,-1,미상,-1,미상,,,,,,,(드론)항공촬영 (드론)항공촬영
BNE24C7CD8A3,hallym_sw,한림대 SW 교육콘텐츠,university,,AI 자율주행차,한림대학교,,0,1,1,m1|m2|m3|h1|h2|h3,7,12,중1~고3,school_level,2,0,1,0,1,0,1,0,,자율주행|ai,2,새싹,기본값(새싹),0,1,3,심화,대상 하한이 중1 이상,1,실습형,기본값(실습형),1,PL002,한림대학교,강원특별자치도 춘천시 한림대학길 1,,,,,,0,0,ONLINE,,,,0,0,,,,,,,,,,,,,-1,미상,-1,미상,,,,,,,ai 자율주행차 ai 자율주행차
BN941B4C3049,hallym_sw,한림대 SW 교육콘텐츠,university,,마이크로비트,한림대학교,,1,1,1,e1|e2|e3|e4|e5|e6|m1|m2|m3|h1|h2|h3,1,12,초1~고3,school_level,2,1,0,0,1,0,0,0,로봇·메이커,마이크로비트,2,새싹,기본값(새싹),0,1,2,기본,기본값(기초·심화 어느 쪽도 아님),1,실습형,기본값(실습형),1,PL002,한림대학교,강원특별자치도 춘천시 한림대학길 1,,,,ARDUINO|LAPTOP,아두이노/센서 키트|노트북,2,1,ONLINE,,,,0,0,,,,,,,,,,,,,-1,미상,-1,미상,,,,,,,마이크로비트 마이크로비트
BN8B35EB72AD,hallym_sw,한림대 SW 교육콘텐츠,university,,생성형AI 응용 및 활용,한림대학교,,0,1,1,m1|m2|m3|h1|h2|h3,7,12,중1~고3,school_level,2,0,1,0,1,0,1,0,AI·데이터,생성형|ai,3,본잎,프로젝트/제작/실습,0,1,3,심화,"제목 ""응용""",1,실습형,기본값(실습형),1,PL002,한림대학교,강원특별자치도 춘천시 한림대학길 1,,,,LAPTOP|WIFI,노트북|와이파이/인터넷,2,1,ONLINE,,,,0,0,,,,,,,,,,,,,-1,미상,-1,미상,,,,,,,생성형ai 응용 및 활용 생성형ai 응용 및 활용
BN71B62620DD,hallym_sw,한림대 SW 교육콘텐츠,university,,아두이노,한림대학교,,1,1,1,e1|e2|e3|e4|e5|e6|m1|m2|m3|h1|h2|h3,1,12,초1~고3,school_level,2,1,0,0,1,0,0,0,로봇·메이커,아두이노,2,새싹,기본값(새싹),0,1,2,기본,기본값(기초·심화 어느 쪽도 아님),1,실습형,기본값(실습형),1,PL002,한림대학교,강원특별자치도 춘천시 한림대학길 1,,,,ARDUINO|LAPTOP,아두이노/센서 키트|노트북,2,1,ONLINE,,,,0,0,,,,,,,,,,,,,-1,미상,-1,미상,,,,,,,아두이노 아두이노
BNB563E2D241,hallym_sw,한림대 SW 교육콘텐츠,university,,코딩드론,한림대학교,,1,1,1,e1|e2|e3|e4|e5|e6|m1|m2|m3|h1|h2|h3,1,12,초1~고3,school_level,2,1,0,0,1,0,0,0,코딩·SW|로봇·메이커,코딩|드론,2,새싹,기본값(새싹),0,1,2,기본,기본값(기초·심화 어느 쪽도 아님),1,실습형,기본값(실습형),1,PL002,한림대학교,강원특별자치도 춘천시 한림대학길 1,,,,LAPTOP|WIFI|DRONE,노트북|와이파이/인터넷|드론,3,1,ONLINE,,,,0,0,,,,,,,,,,,,,-1,미상,-1,미상,,,,,,,코딩드론 코딩드론
BNB72508276E,hallym_sw,한림대 SW 교육콘텐츠,university,,핑퐁로봇,한림대학교,,1,1,1,e1|e2|e3|e4|e5|e6|m1|m2|m3|h1|h2|h3,1,12,초1~고3,school_level,2,1,0,0,1,0,0,0,로봇·메이커,로봇|핑퐁로봇,2,새싹,기본값(새싹),0,1,2,기본,기본값(기초·심화 어느 쪽도 아님),1,실습형,기본값(실습형),1,PL002,한림대학교,강원특별자치도 춘천시 한림대학길 1,,,,ROBOT_KIT|LAPTOP,로봇 키트|노트북,2,1,ONLINE,,,,0,0,,,,,,,,,,,,,-1,미상,-1,미상,,,,,,,핑퐁로봇 핑퐁로봇
BN1EFBE0676F,national,전국 평생학습 표준데이터(춘천분),national_reference,https://lib.gwe.go.kr/chuncheonecc,AI스마트교실,춘천교육문화관,스마트터치 기계 배우기,0,0,0,,,,,unknown,1,0,1,0,1,0,1,0,,ai,2,새싹,기본값(새싹),0,1,2,기본,기본값(기초·심화 어느 쪽도 아님),1,실습형,기본값(실습형),0,PL021,춘천교육문화관,강원특별자치도 춘천시 중앙로 107번길14,,,,,,0,0,LECTURE_ROOM,15,,,0,0,,,,2026-03-13,2026-06-27,107,2026-02-19,2026-02-26,금,10:00,12:00,,0,종료,0,무료,0,,,,,,ai스마트교실 ai스마트교실 스마트터치 기계 배우기
BN6A98738AD9,national,전국 평생학습 표준데이터(춘천분),national_reference,https://lib.gwe.go.kr/chuncheonecc,생상형 AI 콘텐츠,춘천교육문화관,챗봇과 AI 코딩을 직접 체험하며 논리적 사고와 창의적 문제해결 능력 향상,1,0,0,e1|e2|e3|e4|e5|e6,1,6,초1~초6,school_level,2,1,1,0,1,0,1,0,코딩·SW,코딩|ai,2,새싹,기본값(새싹),0,1,2,기본,기본값(기초·심화 어느 쪽도 아님),1,실습형,"내용 ""체험""",0,PL021,춘천교육문화관,강원특별자치도 춘천시 중앙로 107번길14,,,,LAPTOP|WIFI|STATIONERY,노트북|와이파이/인터넷|필기도구/활동지,3,1,COMPUTER_ROOM,15,,,0,0,,,,2026-03-21,2026-06-27,99,2026-02-19,2026-02-26,토,10:00,12:00,,0,종료,0,무료,0,,,,,,생상형 ai 콘텐츠 생상형 ai 콘텐츠 챗봇과 ai 코딩을 직접 체험하며 논리적 사고와 창의적 문제해결 능력 향상
BN5486CC8319,national,전국 평생학습 표준데이터(춘천분),national_reference,https://lib.gwe.go.kr/chuncheonecc,창의 로봇,춘천교육문화관,"로봇을 직접 조립하며 원리를 이해 하고, 놀이하듯 배우는 과정 속에서 창의력과 문제해결 능력 향상",1,0,0,e1|e2|e3|e4|e5|e6,1,6,초1~초6,school_level,2,1,0,0,1,0,0,0,로봇·메이커,로봇,2,새싹,기본값(새싹),0,1,2,기본,기본값(기초·심화 어느 쪽도 아님),1,실습형,"내용 ""조립""",0,PL021,춘천교육문화관,강원특별자치도 춘천시 중앙로 107번길14,,,,ROBOT_KIT|LAPTOP,로봇 키트|노트북,2,1,COMPUTER_ROOM,15,,,0,0,,,,2026-03-21,2026-06-27,99,2026-02-19,2026-02-26,토,10:00,12:00,,0,종료,0,무료,0,,,,,,"창의 로봇 창의 로봇 로봇을 직접 조립하며 원리를 이해 하고, 놀이하듯 배우는 과정 속에서 창의력과 문제해결 능력 향상"
